trial_id,offence_pp_general,offence_pp,pp_sentence_years,trial_month,trial_year,trial_place,pris_ht_pp,def_age_pp,def_literacy,def_religion_pp,marital_status_pp,children_nr,cash_sav_pp,occupation_pp,coloffence_info,offence_ni,death_in_custody_pp,length_of_stay_until_probat,length_of_stay_until_tl,previous_convictions
696470,DESTRUCTION,ARSON,10.0,12,1844,CHESTER ASSIZES,160.02,30.0,3.0,Roman Catholic,S,2.0,48.0,UNKNOWN,False,False,False,3.649315068493151,7.795890410958904,False
696471,STEALING,STEALING,7.0,11,1844,UNKNOWN,165.1,33.0,3.0,Protestant,S,2.0,48.0,STONEMASON,False,False,False,3.649315068493151,7.795890410958904,False
696472,UNKNOWN,UNKNOWN,99.0,3,1845,LIVERPOOL,175.26,20.0,0.0,Protestant,S,2.0,48.0,BRICKLAYER,False,True,False,3.649315068493151,11.04931506849315,False
696473,STEALING,BURGLARY,20.0,12,1844,LIVERPOOL,165.1,18.0,3.0,UNKNOWN,S,2.0,42.0,LABOURER,False,False,True,3.649315068493151,7.795890410958904,False
696474,ASSAULT,UTTERING,99.0,12,1844,LIVERPOOL,162.56,34.0,3.0,Protestant,M,3.0,48.0,UNKNOWN,False,False,False,3.649315068493151,7.795890410958904,False
696475,STEALING,BURGLARY,10.0,12,1844,UNKNOWN,172.72,22.0,0.0,Protestant,S,2.0,48.0,CARPENTER,False,True,False,3.649315068493151,4.863013698630137,False
696476,FORGERY,FORGERY,15.0,2,1845,UNKNOWN,154.94,62.0,3.0,Protestant,M,2.0,48.0,DOMESTIC,False,True,True,3.649315068493151,7.795890410958904,False
696477,STEALING,STEALING,10.0,10,1844,UNKNOWN,162.56,26.0,3.0,Protestant,M,1.0,48.0,TAILOR,False,True,False,2.871232876712329,7.795890410958904,False
696478,DESTRUCTION,ARSON,15.0,12,1844,LIVERPOOL,172.72,30.0,3.0,Protestant,M,1.0,48.0,UNKNOWN,False,True,False,2.871232876712329,7.795890410958904,False
696479,STEALING,STEALING,7.0,10,1844,UNKNOWN,167.64,34.0,3.0,Protestant,W,1.0,48.0,UNKNOWN,False,True,False,3.526027397260274,7.795890410958904,False
696480,STEALING,BURGLARY,10.0,11,1844,CENTRAL CRIMINAL COURT,149.86,28.0,3.0,Roman Catholic,S,2.0,48.0,UNKNOWN,False,True,False,3.649315068493151,7.795890410958904,False
696481,STEALING,BURGLARY,10.0,3,1845,UNKNOWN,162.56,53.0,3.0,Protestant,W,2.0,57.0,FARM LABOURER,False,True,False,3.649315068493151,7.795890410958904,False
696482,ROBBERY,HIGHWAY_ROBBERY,15.0,12,1844,UNKNOWN,170.18,22.0,2.0,Protestant,S,2.0,48.0,LABOURER,False,True,True,3.649315068493151,7.795890410958904,False
696483,ASSAULT,CUTTING,15.0,12,1844,DURHAM ASSIZES,160.02,32.0,3.0,Roman Catholic,S,2.0,48.0,UNKNOWN,False,True,True,2.873972602739726,7.795890410958904,False
696484,STEALING,STEALING,7.0,12,1844,CENTRAL CRIMINAL COURT,154.94,26.0,3.0,Protestant,S,2.0,48.0,LABOURER,False,True,False,3.649315068493151,3.526027397260274,False
696485,STEALING,BURGLARY,20.0,12,1844,DURHAM ASSIZES,162.56,28.0,3.0,Protestant,M,2.0,48.0,COLLIER,False,True,False,3.649315068493151,7.795890410958904,False
696486,STEALING,BURGLARY,14.0,12,1844,UNKNOWN,165.1,30.0,2.0,Presbyterian,S,2.0,48.0,LABOURER,False,True,False,3.649315068493151,7.795890410958904,False
696487,STEALING,BURGLARY,10.0,12,1844,WORCESTER ASSIZES,160.02,23.0,3.0,Protestant,S,2.0,48.0,CARPENTER,False,True,False,3.4712328767123286,7.795890410958904,False
696488,ROBBERY,HIGHWAY_ROBBERY,15.0,3,1845,UNKNOWN,167.64,26.0,3.0,Protestant,S,2.0,36.0,FARM LABOURER,False,True,False,2.5452054794520547,7.2904109589041095,False
696489,STEALING,STEALING,10.0,1,1845,SCOTLAND,162.56,23.0,3.0,Presbyterian,S,2.0,48.0,LABOURER,False,False,False,3.649315068493151,7.795890410958904,False
696490,ASSAULT,MANSLAUGHTER,99.0,7,1844,UNKNOWN,172.72,31.0,3.0,Roman Catholic,M,4.0,12.0,UNKNOWN,False,True,False,3.3013698630136985,7.795890410958904,False
696491,STEALING,STEALING,10.0,9,1844,UNKNOWN,160.02,28.0,0.0,Presbyterian,S,2.0,48.0,UNKNOWN,False,True,False,3.649315068493151,5.126027397260274,False
696492,STEALING,BURGLARY,7.0,9,1844,UNKNOWN,165.1,28.0,3.0,Presbyterian,S,2.0,44.0,CARPENTER,False,True,False,2.871232876712329,3.7753424657534245,False
696493,DESTRUCTION,ARSON,15.0,12,1844,UNKNOWN,157.48,40.0,3.0,Protestant,M,5.0,72.0,SHOEMAKER,False,True,False,3.649315068493151,7.795890410958904,False
696494,FORGERY,FORGERY,7.0,8,1844,LIVERPOOL,154.94,20.0,3.0,Protestant,S,2.0,48.0,LABOURER,False,True,False,3.649315068493151,7.795890410958904,False
696495,STEALING,BURGLARY,10.0,12,1844,UNKNOWN,160.02,24.0,2.0,Roman Catholic,S,2.0,48.0,UNKNOWN,False,True,False,3.649315068493151,4.457534246575342,False
696496,STEALING,BURGLARY,10.0,3,1845,UNKNOWN,165.1,24.0,0.0,Protestant,S,2.0,48.0,LABOURER,False,True,True,3.649315068493151,7.795890410958904,False
696497,UNKNOWN,UNKNOWN,10.0,12,1844,LIVERPOOL,170.18,28.0,3.0,Wesleyan Methodist,S,2.0,48.0,BOATMAN,False,False,False,3.649315068493151,7.795890410958904,False
696498,STEALING,BURGLARY,15.0,2,1845,UNKNOWN,162.56,32.0,0.0,Roman Catholic,S,2.0,48.0,UNKNOWN,False,False,False,3.649315068493151,7.795890410958904,False
696499,STEALING,BURGLARY,15.0,2,1845,UNKNOWN,170.18,22.0,1.0,Roman Catholic,S,2.0,48.0,SHOEMAKER,False,True,False,3.852054794520548,7.795890410958904,False
696500,ASSAULT,STABBING,15.0,10,1844,CENTRAL CRIMINAL COURT,157.48,32.0,3.0,Jewish,M,1.0,48.0,UNKNOWN,False,True,False,3.649315068493151,7.795890410958904,False
696501,UNKNOWN,UNKNOWN,10.0,1,1845,UNKNOWN,170.18,33.0,3.0,Protestant,M,1.0,48.0,UNKNOWN,False,True,True,3.649315068493151,7.795890410958904,False
696502,UNKNOWN,UNKNOWN,10.0,1,1845,UNKNOWN,172.72,31.0,3.0,Protestant,S,2.0,48.0,UNKNOWN,False,True,False,4.205479452054795,5.134246575342465,False
696503,STEALING,BURGLARY,10.0,1,1845,UNKNOWN,154.94,23.0,3.0,Protestant,M,1.0,48.0,SHOEMAKER,False,True,False,3.649315068493151,7.795890410958904,False
696504,ROBBERY,HIGHWAY_ROBBERY,15.0,11,1844,CENTRAL CRIMINAL COURT,177.8,30.0,3.0,Protestant,M,2.0,48.0,UNKNOWN,False,True,False,3.649315068493151,7.795890410958904,False
696505,STEALING,STEALING,7.0,2,1845,UNKNOWN,172.72,43.0,3.0,Protestant,S,2.0,48.0,UNKNOWN,False,True,False,3.649315068493151,7.795890410958904,False
696506,ASSAULT,MANSLAUGHTER,99.0,7,1844,UNKNOWN,170.18,30.0,2.0,Roman Catholic,S,2.0,48.0,FARM LABOURER,False,False,False,3.649315068493151,7.795890410958904,False
696507,UNKNOWN,UNKNOWN,99.0,11,1844,CENTRAL CRIMINAL COURT,165.1,21.0,3.0,Protestant,S,2.0,48.0,LABOURER,False,True,False,3.649315068493151,7.795890410958904,False
696508,DESTRUCTION,ARSON,15.0,12,1844,UNKNOWN,157.48,21.0,3.0,Protestant,S,2.0,48.0,SHEPHERD,False,False,False,3.649315068493151,7.795890410958904,False
696509,SEXUAL,BESTIALITY,99.0,12,1844,UNKNOWN,172.72,60.0,0.0,Protestant,M,8.0,48.0,LABOURER,False,False,False,3.649315068493151,7.795890410958904,False
696510,STEALING,BURGLARY,10.0,3,1845,UNKNOWN,170.18,47.0,1.0,Baptist,W,4.0,96.0,UNKNOWN,False,False,False,2.786301369863014,5.038356164383561,False
696511,ROBBERY,ROBBERY,15.0,6,1844,CENTRAL CRIMINAL COURT,160.02,23.0,3.0,Protestant,M,2.0,48.0,UNKNOWN,False,True,False,1.9616438356164383,7.03013698630137,False
696512,STEALING,BURGLARY,10.0,11,1844,UNKNOWN,162.56,30.0,2.0,Protestant,M,1.0,48.0,UNKNOWN,False,False,False,3.649315068493151,7.795890410958904,False
696513,STEALING,STEALING,14.0,10,1844,UNKNOWN,170.18,21.0,1.0,Protestant,S,2.0,120.0,LABOURER,False,True,False,2.882191780821918,7.704109589041096,False
696514,ROBBERY,ROBBERY,15.0,12,1844,LIVERPOOL,160.02,24.0,1.0,Protestant,S,2.0,13.0,LABOURER,False,False,False,3.649315068493151,7.795890410958904,False
696515,UNKNOWN,UNKNOWN,99.0,12,1844,UNKNOWN,157.48,50.0,1.0,Protestant,S,2.0,48.0,FARM LABOURER,False,True,False,3.649315068493151,7.795890410958904,False
696516,ROBBERY,HIGHWAY_ROBBERY,15.0,12,1844,UNKNOWN,177.8,21.0,3.0,Protestant,S,2.0,48.0,LABOURER,False,True,False,3.649315068493151,7.795890410958904,False
696517,DESTRUCTION,ARSON,99.0,12,1844,YORKSHIRE,165.1,22.0,3.0,Protestant,M,2.0,48.0,UNKNOWN,False,True,False,4.273972602739726,7.795890410958904,False
